function_id,source_origin,cluster_key,cluster_name,function_type,function_name,physical_basis_or_mechanism,performance_metric,performance_value,performance_unit,performance_ref,trl,key_apps,demand_proxy,substitution_score,substitution_note,label
FN_TIZRHF_03,GRAPH,CL_G_C07_TIZRHF,Ti / Zr / Hf  钛·锆·铪,,High-K介质层（Hf）,HfO₂介电常数25（vs SiO₂的3.9）；等效氧化物厚度EOT可降至<1nm,perf,,,,,,,1,sub_path=ZrO₂（备选，介电常数~20，略低）；La₂O₃（高k但不稳定）；实质无替代; sub_score=★☆☆☆☆,FunctionPosition
FN_REF_01,GRAPH,CL_G_C08_REFRACTORY,Cr/Mo/W/V/Nb/Ta  高熔点强化族,,硬质合金/刀具（W）,WC-Co共晶：WC硬度9.5（vs金刚石10），Co粘结相提供韧性；纳米结构WC晶粒控制,perf,,,,,,,2,sub_path=立方氮化硼（cBN，高温切削钢件）；陶瓷刀具（Al₂O₃/Si₃N₄）; sub_score=★★☆☆☆,FunctionPosition
FN_REF_02,GRAPH,CL_G_C08_REFRACTORY,Cr/Mo/W/V/Nb/Ta  高熔点强化族,,钒流电池储能（V）,V²⁺/V³⁺（负极）和VO²⁺/VO₂⁺（正极）四价态氧化还原；同种元素两极防交叉污染,perf,,,,,,,2,sub_path=液流电池内：Fe-Cr流电（更便宜但混液问题）；Li电池（移动场景）; sub_score=★★☆☆☆（固定大型储能场景）,FunctionPosition
FN_REF_03,GRAPH,CL_G_C08_REFRACTORY,Cr/Mo/W/V/Nb/Ta  高熔点强化族,,高温合金强化（Cr/Mo/W/Ta）,Cr：形成Cr₂O₃保护氧化层（热腐蚀防护）；Mo/W：固溶强化+MC碳化物析出；Ta：γ'相稳定,perf,,,,,,,2,sub_path=SiC/SiC陶瓷基复合材料（CMC，TRL7-8，部分GE9X已使用）; sub_score=★★☆☆☆,FunctionPosition
FN_MGCA_01,GRAPH,CL_G_C09_MGCA,Mg / Ca  镁·钙,,超轻量化结构（Mg）,HCP密排六方结构；时效强化（Mg-Zn-RE体系）；比钢轻75%，比铝轻36%,perf,,,,,,,4,sub_path=铝合金（成形性更好）；CFRP（更高比强度）；高强钢（成本更低）; sub_score=★★★★☆,FunctionPosition
FN_MGCA_02,GRAPH,CL_G_C09_MGCA,Mg / Ca  镁·钙,,冶金辅助剂（Ca）,Ca脱氧能力极强（ΔG°形成CaO=-604kJ/mol）；CaO碱性炉渣（CaO/SiO₂比=碱度）,perf,,,,,,,1,sub_path=无实质替代（冶金碱性炉渣的核心组分）; sub_score=★☆☆☆☆,FunctionPosition
FN_MGCA_03,GRAPH,CL_G_C09_MGCA,Mg / Ca  镁·钙,,下一代电池负极（Mg）,Mg²⁺沉积：无枝晶倾向（热力学稳定性高于Li）；理论比容量2205mAh/g（Li的57%）,perf,,,,,,,2,sub_path=锂金属负极（Li²⁺单价，更成熟）；锌负极（水系电池）; sub_score=★★☆☆☆（长期有潜力）,FunctionPosition
FN_AGAU_01,GRAPH,CL_G_C10_AGAU,Ag / Au  银·金,,光伏银浆（Ag）,Ag浆印刷→烧结穿透SiNx抗反射膜→与Si晶格形成良好欧姆接触；银的低接触电阻（<0.1mΩ·cm²）,perf,,,,,,,3,sub_path=铜电极（TRL5-6，HJT电池路线）；铝电极（背面）；超低银浆配方; sub_score=★★★☆☆,FunctionPosition
FN_AGAU_02,GRAPH,CL_G_C10_AGAU,Ag / Au  银·金,,高可靠封装键合（Au）,Au线热压焊：Au-Al金属间化合物（无自然氧化层，直接冷焊）；高温高湿下无腐蚀,perf,,,,,,,6,sub_path=Cu键合线（已在消费电子替代Au，成本降低75%）；Ag合金线（部分替代）; sub_score=★★★★☆（消费电子），★★☆☆☆（军用/高可靠）,FunctionPosition
FN_AGAU_03,GRAPH,CL_G_C10_AGAU,Ag / Au  银·金,,电接触材料（Ag）,Ag导电率最高+接触电阻最低；Ag₂O室温自还原（oxide reduction self-repairing）,perf,,,,,,,2,sub_path=AgNi→CuNi（降Ag）；真空触断技术（无需触点材料）; sub_score=★★☆☆☆,FunctionPosition
FN_PGM_01,GRAPH,CL_G_C11_PGM,Pt / Pd / Rh / Ru / Ir  铂族,,汽车三效催化（Pt/Pd/Rh）,Pt/Pd氧化CO和HC；Rh还原NOₓ；堇青石蜂窝载体，BET表面积~150m²/g,perf,,,,,,,3,sub_path=电动化（BEV直接消除排放）；SCR+DOC（非贵金属体系，但仅柴油）; sub_score=★★★☆☆（EV渗透长期替代）,FunctionPosition
FN_PGM_02,GRAPH,CL_G_C11_PGM,Pt / Pd / Rh / Ru / Ir  铂族,,PEM燃料电池/电解槽（Pt/Ir）,Pt：H₂氧化（阳极）和O₂还原（阴极）高活性电催化；Ir：析氧反应（PEM电解槽阳极）,perf,,,,,,,3,sub_path=Fe-N-C非贵金属催化剂（TRL4-5，活性差距10倍）；碱性AWE（无需Ir）; sub_score=★★☆☆☆（Pt），★☆☆☆☆（Ir-PEM阳极）,FunctionPosition
FN_PGM_03,GRAPH,CL_G_C11_PGM,Pt / Pd / Rh / Ru / Ir  铂族,,精细化工催化（Pt/Ru/Rh）,Pt：加氢/重整均相催化；Ru：NH₃合成改性催化剂；Rh：Monsanto法甲醇羰基化,perf,,,,,,,2,sub_path=廉价金属催化（Ni/Co/Fe）活性差但已够用于部分工艺；无通用替代; sub_score=★★☆☆☆,FunctionPosition
FN_ZNSNPB_01,GRAPH,CL_G_C12_ZNSNPB,Zn / Sn / Pb  锌·锡·铅,,防腐镀层（Zn）,Zn/Fe原电池：Zn作牺牲阳极（电极电位更负）保护Fe；热镀锌/电镀锌形成致密Zn/Zn-Fe合金层,perf,,,,,,,3,sub_path=有机涂料（环氧/聚氨酯）；不锈钢（耐蚀合金）；铝合金; sub_score=★★★☆☆,FunctionPosition
FN_ZNSNPB_02,GRAPH,CL_G_C12_ZNSNPB,Zn / Sn / Pb  锌·锡·铅,,无铅焊料（Sn基）,Sn-Ag-Cu（SAC）合金：共晶点217°C；低熔点+良好润湿性；RoHS驱动替代Sn-Pb,perf,,,,,,,3,sub_path=低温焊料（Bi基）；导电胶（Ag颗粒分散）；超声波焊接（无焊料）; sub_score=★★★☆☆,FunctionPosition
FN_ZNSNPB_03,GRAPH,CL_G_C12_ZNSNPB,Zn / Sn / Pb  锌·锡·铅,,铅酸储能（Pb）,Pb/PbO₂电极对；2V/单体（标准电压最稳定）；H₂SO₄电解液；深成熟技术,perf,,,,,,,6,sub_path=锂电（深度替代中）；超级电容（功率场景）；Ni-MH（部分替代）; sub_score=★★★★☆（移动储能），★★☆☆☆（固定+启动）,FunctionPosition
FN_SCLS_01,GRAPH,CL_G_C13_SCLS,S / Cl  硫·氯,,湿法冶金中间体（S）,H₂SO₄溶浸矿石（铜矿/镍矿/锂矿浸出）；与金属形成可溶硫酸盐便于提取,perf,,,,,,,1,sub_path=无通用替代（H₂SO₄的酸性和氧化性组合独特）; sub_score=★☆☆☆☆,FunctionPosition
FN_SCLS_02,GRAPH,CL_G_C13_SCLS,S / Cl  硫·氯,,氯碱基础化工（Cl）,NaCl电解：2NaCl+2H₂O→Cl₂+H₂+2NaOH；三品（Cl₂/H₂/NaOH）支撑整个基础化工链,perf,,,,,,,1,sub_path=无通用替代（下游化学品重构才能绕开Cl₂）; sub_score=★☆☆☆☆,FunctionPosition
FN_SCLS_03,GRAPH,CL_G_C13_SCLS,S / Cl  硫·氯,,Li-S电池正极（S）,S→Li₂S：理论比容量1675mAh/g（S最高之一）；无Ni/Co/Mn等稀缺元素,perf,,,,,,,2,sub_path=不适合替代Li电池体系（是全新化学路线）；固态Li-S可改善穿梭效应（TRL3-4）; sub_score=★★☆☆☆（技术成熟后弹性降低）,FunctionPosition
FN_UTH_01,GRAPH,CL_G_C14_UTHF,U / Th  铀·钍,,核裂变燃料（U）,U-235中子诱发裂变：n+²³⁵U→裂变碎片+2-3n+能量；链式反应维持临界态,perf,,,,,,,1,sub_path=Th-232→U-233循环（TRL3-4）；聚变（终极替代，TRL4-5，50年+）; sub_score=★☆☆☆☆,FunctionPosition
FN_UTH_02,GRAPH,CL_G_C14_UTHF,U / Th  铀·钍,,SMR紧凑型核电（U）,小型模块化反应堆（300MW以下）；工厂预制、模块化部署；部分采用高浓铀（HALEU）,perf,,,,,,,1,sub_path=大型核电（已验证）；天然气/储能（碳排放更高）; sub_score=★☆☆☆☆（核电功能位）,FunctionPosition
FN_UTH_03,GRAPH,CL_G_C14_UTHF,U / Th  铀·钍,,钍循环增殖（Th）,Th-232+n→Pa-233→U-233（可裂变）；Th不直接裂变，需U-233点火,perf,,,,,,,2,sub_path=铀燃料循环（成熟路线）；无商业竞争替代（钍循环互补而非竞争）; sub_score=★★☆☆☆（长期）,FunctionPosition
FN_REE_01,GRAPH,CL_G_C15_REE,稀土  Nd/Pr/Dy/Tb/La/Ce,,永磁体主磁相（Nd/Pr）,Nd₂Fe₁₄B四方结构；4f电子产生磁晶各向异性（Ha=7T）；Pr可与Nd互换（约20%比例）,perf,,,,,,,2,sub_path=SmCo（更耐高温但成本×2-3）；铁氧体（磁能积差90%）；无稀土FeN（TRL3-4）; sub_score=★★☆☆☆,FunctionPosition
FN_REE_02,GRAPH,CL_G_C15_REE,稀土  Nd/Pr/Dy/Tb/La/Ce,,晶界硬化（Dy/Tb）,Dy/Tb偏析于NdFeB晶界；提高晶界处的局域各向异性场；矫顽力翻倍（900→2000kA/m）,perf,,,,,,,1,sub_path=晶界扩散技术（减少Dy用量15-25%，工艺know-how）；高矫顽力NdFeB配方优化; sub_score=★☆☆☆☆（高温场景）,FunctionPosition
FN_REE_03,GRAPH,CL_G_C15_REE,稀土  Nd/Pr/Dy/Tb/La/Ce,,储氢/催化/发光（La/Ce）,La-Ni：AB₅型储氢合金（La→Ni格间隙储H）；CeO₂储氧能力（Ce³⁺/Ce⁴⁺可逆）；Eu³⁺红光,perf,,,,,,,3,sub_path=La：NiMH被Li电逐步替代（中长期）；Ce催化被非稀土催化部分替代; sub_score=★★★☆☆,FunctionPosition
FN_GAGEIN_01,GRAPH,CL_G_C16_GAGEIN,Ga / Ge / In  战略小金属,,GaN功率/射频器件（Ga）,GaN禁带3.4eV→临界击穿场10MV/cm（Si的10倍）；异质结2DEG电子气高迁移率,perf,,,,,,,2,sub_path=SiC（竞争路线，高压场景）；GaN on Si（成本降低，消费市场已主流）; sub_score=★★☆☆☆,FunctionPosition
FN_GAGEIN_02,GRAPH,CL_G_C16_GAGEIN,Ga / Ge / In  战略小金属,,红外光学/光通信（Ge）,Ge间接带隙0.67eV：红外透过范围2-15μm（独特光学窗口）；SiGe异质结加速,perf,,,,,,,5,sub_path=ZnS（红外窗口，成本低但热强度差）；Si（<6μm范围）; sub_score=★★☆☆☆（军用），★★★☆☆（民用光纤）,FunctionPosition
FN_GAGEIN_03,GRAPH,CL_G_C16_GAGEIN,Ga / Ge / In  战略小金属,,ITO透明导电膜（In）,In₂O₃:Sn（ITO）：高透过率(>85%@550nm)+低电阻率(10⁻⁴Ω·cm)；溅射成膜,perf,,,,,,,5,sub_path=AZO（氧化锌铝，成本低，柔性差）；纳米银线（柔性优）；石墨烯（TRL4-5）; sub_score=★★★☆☆（刚性屏），★★☆☆☆（柔性屏）,FunctionPosition
FN_LINA_01,GRAPH,CL_G_C17_LINA,Li / Na  储能离子,,载流离子（Li⁺）,Li⁺嵌入石墨负极（LiC₆）和正极（NMC/LFP脱嵌）；小离子半径（0.76Å）→高迁移率,perf,,,,,,,2,sub_path=Na⁺（半径1.02Å，更大；能量密度70%）；Mg²⁺（价研二阶双价，动力学慢）; sub_score=★★☆☆☆（高能量密度场景）,FunctionPosition
FN_LINA_02,GRAPH,CL_G_C17_LINA,Li / Na  储能离子,,固态电解质（Li）,固态电解质（LGPS/LLZO/硫化物）中Li⁺沿特定晶格通道迁移；消除液态电解质,perf,,,,,,,2,sub_path=液态电解液（成熟）；聚合物固态（低导电率）；氧化物固态（脆性大）; sub_score=★★☆☆☆,FunctionPosition
FN_LINA_03,GRAPH,CL_G_C17_LINA,Li / Na  储能离子,,低成本储能载体（Na⁺）,Na⁺（1.02Å）在NASICON结构/层状氧化物中嵌脱；碳酸钠/NaCl资源极丰富,perf,,,,,,,3,sub_path=Li电（高能量密度）；铅酸（极低成本）；液流电池（大规模储能）; sub_score=★★★☆☆（Na替代Li在低端场景）,FunctionPosition
FN_CU_01,GRAPH,CL_G_C18_CU,Cu  铜,,电流传输,3d¹⁰满轨道：自由电子散射最少；电阻率1.72μΩ·cm（仅Ag的1.56μΩ·cm更低）,perf,,,,,,,4,sub_path=Al（输电线轻量化）；超导体（特殊场景）；CNT（研究阶段）; sub_score=★★★☆☆（输电），★☆☆☆☆（PCB/电机绕组）,FunctionPosition
FN_CU_02,GRAPH,CL_G_C18_CU,Cu  铜,,电池集流体（铜箔）,Cu在负极电位范围内稳定（不与Li合金化）；4-8μm超薄箔保证集流体重量最小,perf,,,,,,,1,sub_path=复合铜箔（PET/Cu/PET，更薄但工艺复杂）；Al只能用正极集流体; sub_score=★☆☆☆☆（负极集流体这一功能位）,FunctionPosition
FN_CU_03,GRAPH,CL_G_C18_CU,Cu  铜,,热管理（铜管/均热板）,热导率385W/m·K（是Al的1.6倍）；铜-水热管（毛细驱动）；均热板扩展热流,perf,,,,,,,2,sub_path=金刚石铜复合（特殊功率场景）；铝（低密度，热导率略低）; sub_score=★★☆☆☆,FunctionPosition
FN_NICOMN_01,GRAPH,CL_G_C19_NICOMN,Ni / Co / Mn  电池三元素,,三元正极高能量密度（Ni主导）,Ni²⁺→Ni⁴⁺：高比容量（NMC90：220mAh/g）；Co维持结构；Mn降本+循环稳定,perf,,,,,,,3,sub_path=LFP（安全性优先场景）；LMFP（能量密度居中）；全固态（将改变正极配方逻辑）; sub_score=★★★☆☆（Ni可用LMFP部分替代，Co可降至<5%）,FunctionPosition
FN_NICOMN_02,GRAPH,CL_G_C19_NICOMN,Ni / Co / Mn  电池三元素,,镍基高温合金（Ni/Co/Mo/W）,Ni FCC结构高温稳定；γ'/γ''（Ni₃Al/Ni₃Nb）析出相强化；Co增加γ'溶解温度,perf,,,,,,,2,sub_path=SiC/SiC陶瓷基复合（CMC，TRL7-8，GE9X风扇叶片已用）; sub_score=★★☆☆☆（航发热端件）,FunctionPosition
FN_NICOMN_03,GRAPH,CL_G_C19_NICOMN,Ni / Co / Mn  电池三元素,,LMFP正极新路线（Mn）,LiMn_xFe_(1-x)PO₄：Mn²⁺/Mn³⁺将平台电压从3.4V（LFP）提至3.8V,perf,,,,,,,3,sub_path=LFP（成熟，低成本）；NMC（高能量密度）；LMFP是中间路线; sub_score=★★★☆☆,FunctionPosition
FN_SI_01,GRAPH,CL_G_C20_SI,Si  硅,,CMOS逻辑器件基底,1.12eV带隙→室温本征载流子浓度适中（10¹⁰/cm³）；栅极电压精确控制开关；HfO₂替代SiO₂@7nm以下,perf,,,,,,,1,sub_path=GaAs（GHz频率电路）；InP（太赫兹）；Ge（高迁移率）；量子比特（50年+）; sub_score=★☆☆☆☆（逻辑芯片）,FunctionPosition
FN_SI_02,GRAPH,CL_G_C20_SI,Si  硅,,光伏吸光转换,禁带1.12eV→最接近太阳光谱Shockley-Queisser极限最优带隙（1.34eV）；p-n结内建电场分离载流子,perf,,,,,,,2,sub_path=钙钛矿-Si叠层（理论43%，TRL6-7）；CdTe（低成本薄膜）; sub_score=★★☆☆☆（光伏）,FunctionPosition
FN_SI_03,GRAPH,CL_G_C20_SI,Si  硅,,Si@C复合负极（电池）,Si理论比容量3590mAh/g（vs石墨372）；体积膨胀300%→纳米化+C包覆抑制粉化,perf,,,,,,,3,sub_path=纯石墨（成熟，循环好）；锡基（Sn容量较高但更贵）；Li金属（固态）; sub_score=★★★☆☆,FunctionPosition
S_Cl_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_S_Cl,硫氯（S/Cl）,CHEMICAL_BASE,湿法冶金中间体（S）,H₂SO₄溶浸矿石（铜矿/镍矿/锂矿浸出）；与金属形成可溶硫酸盐便于提取,perf,,,,,,,1,backfilled from FN_SCLS_01; sub_path=无通用替代（H₂SO₄的酸性和氧化性组合独特）; sub_score=★☆☆☆☆ | V2.3 typed substitution rows added,FunctionPosition
S_Cl_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_S_Cl,硫氯（S/Cl）,CHEMICAL_BASE,氯碱基础化工（Cl）,NaCl电解：2NaCl+2H₂O→Cl₂+H₂+2NaOH；三品（Cl₂/H₂/NaOH）支撑整个基础化工链,perf,,,,,,,1,backfilled from FN_SCLS_02; sub_path=无通用替代（下游化学品重构才能绕开Cl₂）; sub_score=★☆☆☆☆ | V2.3 typed substitution rows added,FunctionPosition
S_Cl_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_S_Cl,硫氯（S/Cl）,ELECTROCHEMICAL,Li-S电池正极（S）,S→Li₂S：理论比容量1675mAh/g（S最高之一）；无Ni/Co/Mn等稀缺元素,perf,,,,,,,2,backfilled from FN_SCLS_03; sub_path=不适合替代Li电池体系（是全新化学路线）；固态Li-S可改善穿梭效应（TRL3-4）; sub_score=★★☆☆☆（技术成熟后弹性降低） | V2.3 typed substitution rows added,FunctionPosition
U_Th_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_U_Th,铀钍（U/Th）,NUCLEAR,核裂变燃料（U）,U-235中子诱发裂变：n+²³⁵U→裂变碎片+2-3n+能量；链式反应维持临界态,perf,,,,,,,1,backfilled from FN_UTH_01; sub_path=Th-232→U-233循环（TRL3-4）；聚变（终极替代，TRL4-5，50年+）; sub_score=★☆☆☆☆ | V2.3 typed substitution rows added,FunctionPosition
U_Th_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_U_Th,铀钍（U/Th）,NUCLEAR,SMR紧凑型核电（U）,小型模块化反应堆（300MW以下）；工厂预制、模块化部署；部分采用高浓铀（HALEU）,perf,,,,,,,1,backfilled from FN_UTH_02; sub_path=大型核电（已验证）；天然气/储能（碳排放更高）; sub_score=★☆☆☆☆（核电功能位） | V2.3 typed substitution rows added,FunctionPosition
U_Th_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_U_Th,铀钍（U/Th）,NUCLEAR,钍循环增殖（Th）,Th-232+n→Pa-233→U-233（可裂变）；Th不直接裂变，需U-233点火,perf,,,,,,,2,backfilled from FN_UTH_03; sub_path=铀燃料循环（成熟路线）；无商业竞争替代（钍循环互补而非竞争）; sub_score=★★☆☆☆（长期） | V2.3 typed substitution rows added,FunctionPosition
REE_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_REE,稀土（Nd/Pr/Dy/Tb/La/Ce）,MAGNETIC,永磁体主磁相（Nd/Pr）,Nd₂Fe₁₄B四方结构；4f电子产生磁晶各向异性（Ha=7T）；Pr可与Nd互换（约20%比例）,perf,,,,,,,2,backfilled from FN_REE_01; sub_path=SmCo（更耐高温但成本×2-3）；铁氧体（磁能积差90%）；无稀土FeN（TRL3-4）; sub_score=★★☆☆☆ | V2.3 typed substitution rows added,FunctionPosition
REE_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_REE,稀土（Nd/Pr/Dy/Tb/La/Ce）,MAGNETIC,晶界硬化（Dy/Tb）,Dy/Tb偏析于NdFeB晶界；提高晶界处的局域各向异性场；矫顽力翻倍（900→2000kA/m）,perf,,,,,,,1,backfilled from FN_REE_02; sub_path=晶界扩散技术（减少Dy用量15-25%，工艺know-how）；高矫顽力NdFeB配方优化; sub_score=★☆☆☆☆（高温场景） | V2.3 typed substitution rows added,FunctionPosition
REE_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_REE,稀土（Nd/Pr/Dy/Tb/La/Ce）,CHEMICAL_BASE,储氢/催化/发光（La/Ce）,La-Ni：AB₅型储氢合金（La→Ni格间隙储H）；CeO₂储氧能力（Ce³⁺/Ce⁴⁺可逆）；Eu³⁺红光,perf,,,,,,,3,backfilled from FN_REE_03; sub_path=La：NiMH被Li电逐步替代（中长期）；Ce催化被非稀土催化部分替代; sub_score=★★★☆☆ | V2.3 typed substitution rows added,FunctionPosition
Ga_Ge_In_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_Ga_Ge_In,战略小金属（Ga/Ge/In）,SEMICONDUCTOR,GaN功率/射频器件（Ga）,GaN禁带3.4eV→临界击穿场10MV/cm（Si的10倍）；异质结2DEG电子气高迁移率,perf,,,,,,,2,backfilled from FN_GAGEIN_01; sub_path=SiC（竞争路线，高压场景）；GaN on Si（成本降低，消费市场已主流）; sub_score=★★☆☆☆ | V2.3 typed substitution rows added,FunctionPosition
Ga_Ge_In_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_Ga_Ge_In,战略小金属（Ga/Ge/In）,SEMICONDUCTOR,红外光学/光通信（Ge）,Ge间接带隙0.67eV：红外透过范围2-15μm（独特光学窗口）；SiGe异质结加速,perf,,,,,,,5,backfilled from FN_GAGEIN_02; sub_path=ZnS（红外窗口，成本低但热强度差）；Si（<6μm范围）; sub_score=★★☆☆☆（军用），★★★☆☆（民用光纤） | V2.3 typed substitution rows added,FunctionPosition
Ga_Ge_In_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_Ga_Ge_In,战略小金属（Ga/Ge/In）,SEMICONDUCTOR,ITO透明导电膜（In）,In₂O₃:Sn（ITO）：高透过率(>85%@550nm)+低电阻率(10⁻⁴Ω·cm)；溅射成膜,perf,,,,,,,5,backfilled from FN_GAGEIN_03; sub_path=AZO（氧化锌铝，成本低，柔性差）；纳米银线（柔性优）；石墨烯（TRL4-5）; sub_score=★★★☆☆（刚性屏），★★☆☆☆（柔性屏） | V2.3 typed substitution rows added,FunctionPosition
Li_Na_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_Li_Na,储能离子（Li/Na）,ELECTROCHEMICAL,载流离子（Li⁺）,Li⁺嵌入石墨负极（LiC₆）和正极（NMC/LFP脱嵌）；小离子半径（0.76Å）→高迁移率,perf,,,,,,,2,backfilled from FN_LINA_01; sub_path=Na⁺（半径1.02Å，更大；能量密度70%）；Mg²⁺（价研二阶双价，动力学慢）; sub_score=★★☆☆☆（高能量密度场景） | V2.3 typed substitution rows added,FunctionPosition
Li_Na_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_Li_Na,储能离子（Li/Na）,ELECTROCHEMICAL,固态电解质（Li）,固态电解质（LGPS/LLZO/硫化物）中Li⁺沿特定晶格通道迁移；消除液态电解质,perf,,,,,,,2,backfilled from FN_LINA_02; sub_path=液态电解液（成熟）；聚合物固态（低导电率）；氧化物固态（脆性大）; sub_score=★★☆☆☆ | V2.3 typed substitution rows added,FunctionPosition
Li_Na_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_Li_Na,储能离子（Li/Na）,ELECTROCHEMICAL,低成本储能载体（Na⁺）,Na⁺（1.02Å）在NASICON结构/层状氧化物中嵌脱；碳酸钠/NaCl资源极丰富,perf,,,,,,,3,backfilled from FN_LINA_03; sub_path=Li电（高能量密度）；铅酸（极低成本）；液流电池（大规模储能）; sub_score=★★★☆☆（Na替代Li在低端场景） | V2.3 typed substitution rows added,FunctionPosition
Cu_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_Cu,铜（Cu）,NUCLEAR,电流传输,3d¹⁰满轨道：自由电子散射最少；电阻率1.72μΩ·cm（仅Ag的1.56μΩ·cm更低）,perf,,,,,,,4,backfilled from FN_CU_01; sub_path=Al（输电线轻量化）；超导体（特殊场景）；CNT（研究阶段）; sub_score=★★★☆☆（输电），★☆☆☆☆（PCB/电机绕组） | V2.3 typed substitution rows added,FunctionPosition
Cu_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_Cu,铜（Cu）,NUCLEAR,电池集流体（铜箔）,Cu在负极电位范围内稳定（不与Li合金化）；4-8μm超薄箔保证集流体重量最小,perf,,,,,,,1,backfilled from FN_CU_02; sub_path=复合铜箔（PET/Cu/PET，更薄但工艺复杂）；Al只能用正极集流体; sub_score=★☆☆☆☆（负极集流体这一功能位） | V2.3 typed substitution rows added,FunctionPosition
Cu_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_Cu,铜（Cu）,NUCLEAR,热管理（铜管/均热板）,热导率385W/m·K（是Al的1.6倍）；铜-水热管（毛细驱动）；均热板扩展热流,perf,,,,,,,2,backfilled from FN_CU_03; sub_path=金刚石铜复合（特殊功率场景）；铝（低密度，热导率略低）; sub_score=★★☆☆☆ | V2.3 typed substitution rows added,FunctionPosition
Ni_Co_Mn_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_Ni_Co_Mn,电池三元素（Ni/Co/Mn）,ELECTROCHEMICAL,三元正极高能量密度（Ni主导）,Ni²⁺→Ni⁴⁺：高比容量（NMC90：220mAh/g）；Co维持结构；Mn降本+循环稳定,perf,,,,,,,3,backfilled from FN_NICOMN_01; sub_path=LFP（安全性优先场景）；LMFP（能量密度居中）；全固态（将改变正极配方逻辑）; sub_score=★★★☆☆（Ni可用LMFP部分替代，Co可降至<5%） | V2.3 typed substitution rows added,FunctionPosition
Ni_Co_Mn_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_Ni_Co_Mn,电池三元素（Ni/Co/Mn）,HIGH_TEMP,镍基高温合金（Ni/Co/Mo/W）,Ni FCC结构高温稳定；γ'/γ''（Ni₃Al/Ni₃Nb）析出相强化；Co增加γ'溶解温度,perf,,,,,,,2,backfilled from FN_NICOMN_02; sub_path=SiC/SiC陶瓷基复合（CMC，TRL7-8，GE9X风扇叶片已用）; sub_score=★★☆☆☆（航发热端件） | V2.3 typed substitution rows added,FunctionPosition
Ni_Co_Mn_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_Ni_Co_Mn,电池三元素（Ni/Co/Mn）,ELECTROCHEMICAL,LMFP正极新路线（Mn）,LiMn_xFe_(1-x)PO₄：Mn²⁺/Mn³⁺将平台电压从3.4V（LFP）提至3.8V,perf,,,,,,,3,backfilled from FN_NICOMN_03; sub_path=LFP（成熟，低成本）；NMC（高能量密度）；LMFP是中间路线; sub_score=★★★☆☆ | V2.3 typed substitution rows added,FunctionPosition
Si_FP_01,ONTOLOGY_SUPPLEMENT,CL_O_Si,硅（Si）,SEMICONDUCTOR,CMOS逻辑器件基底,1.12eV带隙→室温本征载流子浓度适中（10¹⁰/cm³）；栅极电压精确控制开关；HfO₂替代SiO₂@7nm以下,perf,,,,,,,1,backfilled from FN_SI_01; sub_path=GaAs（GHz频率电路）；InP（太赫兹）；Ge（高迁移率）；量子比特（50年+）; sub_score=★☆☆☆☆（逻辑芯片） | V2.3 typed substitution rows added,FunctionPosition
Si_FP_02,ONTOLOGY_SUPPLEMENT,CL_O_Si,硅（Si）,SEMICONDUCTOR,光伏吸光转换,禁带1.12eV→最接近太阳光谱Shockley-Queisser极限最优带隙（1.34eV）；p-n结内建电场分离载流子,perf,,,,,,,2,backfilled from FN_SI_02; sub_path=钙钛矿-Si叠层（理论43%，TRL6-7）；CdTe（低成本薄膜）; sub_score=★★☆☆☆（光伏） | V2.3 typed substitution rows added,FunctionPosition
Si_FP_03,ONTOLOGY_SUPPLEMENT,CL_O_Si,硅（Si）,SEMICONDUCTOR,Si@C复合负极（电池）,Si理论比容量3590mAh/g（vs石墨372）；体积膨胀300%→纳米化+C包覆抑制粉化,perf,,,,,,,3,backfilled from FN_SI_03; sub_path=纯石墨（成熟，循环好）；锡基（Sn容量较高但更贵）；Li金属（固态）; sub_score=★★★☆☆ | V2.3 typed substitution rows added,FunctionPosition
